address,company,jname,jtxt,mount,salary
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,废水处理技术员,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘2人,薪资面议
(池州市站前区世纪广场10号楼116室),池州正建工程管理服务有限公司,总代,大专 / 经验2年以上 / 性别男 / 25～55岁,招聘5人,薪资面议
(安徽省池州市贵池区清溪大道198号),安徽精实电子科技有限公司,质检员,初中 / 经验3年以上 / 性别不限 / 25～45岁,招聘10人,3K-4K
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,SQE,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘1人,3K-4K
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,化验员,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘3人,3K-4K
(池州市贵池区清溪大道198号),安徽精实电子科技有限公司,采购员,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘1人,3K-4K
(安徽池州市中央广场2号楼2007室),安徽成文财务管理咨询有限公司,行政服务大厅接单员,大专 / 经验1年以上 / 性别不限 / 22～40岁,招聘1人,面议
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,物控,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘1人,3K-4K
(池州市贵池区清溪大道198号),安徽精实电子科技有限公司,电镀技术员,中专 / 经验3年以上 / 性别男 / 25～45岁,招聘5人,薪资面议
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,阳极技术员,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘2人,薪资面议
,安徽省伟成润鑫投资咨询有限公司,信贷经理,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘20人,面议
(池州市贵池区长江南路688号（财富广场）六楼613室),学林教育,前台,中专 / 经验1年以上 / 性别女 / 22～30岁,招聘2人,1K-3K
,美之然养生会所,美容师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
,美之然养生会所,美容学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
(池州市站前区万盛广场),池州市华奥汽车销售服务有限公司,销售顾问助理,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,面议
(池州市站前区4S店集聚区),池州市华奥汽车销售服务有限公司,服务顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,行政文员,中专 / 经验2年以上 / 性别女 / 25～35岁,招聘1人,2K-3K
(池州市站前区万盛广场),池州市华奥汽车销售服务有限公司,服务主管,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(池州市站前区4S店集聚区),池州市华奥汽车销售服务有限公司,服务经理,本科 / 经验5年以上 / 性别男 / 年龄不限,招聘1人,面议
(池州市贵池区清溪大道198号),安徽精实电子科技有限公司,厂务设备工程师,大专 / 经验5年以上 / 性别男 / 25～45岁,招聘1人,薪资面议
,池州妍宝电子商务有限公司,销售代表,学历不限 / 经验不限 / 性别不限 / 18～24岁,招聘50人,2K-60K
,池州妍宝电子商务有限公司,高薪招销售精英,大专 / 经验2年以上 / 性别不限 / 18～25岁,招聘20人,3K-60K
(池州市站前区4S店集聚区),池州市华奥汽车销售服务有限公司,高级维修技师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,面议
,池州妍宝电子商务有限公司,高薪网络销售代表,学历不限 / 经验不限 / 性别不限 / 18～24岁,招聘20人,2K-60K
(米兰阳光大厦1401),领创网络,电话销售,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘12人,3K-5K
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,勤杂工,学历不限 / 经验不限 / 性别不限 / 30～60岁,招聘1人,1K-2K
(池州市站前区万盛广场),池州市华奥汽车销售服务有限公司,展厅主管,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,工程师,大专 / 经验2年以上 / 性别不限 / 年龄不限,招聘1人,面议
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,外贸业务员,本科 / 经验2年以上 / 性别女 / 年龄不限,招聘2人,薪资面议
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,机修工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-4K
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,操作工,学历不限 / 经验2年以上 / 性别不限 / 22岁以上,招聘10人,薪资面议
,领创网络,游戏推广,学历不限 / 经验不限 / 性别不限 / 18～30岁,招聘12人,3K-8K
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,电子商务专员,大专 / 经验2年以上 / 性别女 / 20～40岁,招聘2人,薪资面议
(米兰阳光大厦1401),领创网络,网络销售,学历不限 / 经验不限 / 性别不限 / 18～30岁,招聘12人,5K-8K
(池州商之都2#楼1103室),安徽金泉池州工程造价咨询有限公司,造价师、造价员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,面议
(站前区永明路95号池州上海城6楼),安徽齐山房地产开发有限责任公司,商业运营经理,大专 / 经验5年以上 / 性别不限 / 24～45岁,招聘1人,面议
(安徽省池州市贵池区清溪大道198号),安徽精实电子科技有限公司,冲压修模技术员,大专 / 经验3年以上 / 性别男 / 25～45岁,招聘1人,薪资面议
(站前区永明路95号池州上海城6楼),安徽齐山房地产开发有限责任公司,水电工程师,本科 / 经验3年以上 / 性别男 / 年龄不限,招聘1人,薪资面议
(安徽省池州市百汇广场A楼111-113号门面),池州市林乐建材销售有限公司,店面销售（店内导购）,高中 / 经验不限 / 性别不限 / 20～45岁,招聘10人,面议
,池州妍宝电子商务有限公司,网络销售,学历不限 / 经验不限 / 性别不限 / 18～25岁,招聘200人,2K-60K
,池州市勇迅信息咨询有限公司,电话客服、销售,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,5K-8K
,远博科技软件咨询服务中心,软件实施工程师,学历不限 / 经验不限 / 性别男 / 18～40岁,招聘3人,2K-6K
(站前区永明路95号池州上海城6楼),安徽齐山房地产开发有限责任公司,保安,学历不限 / 经验不限 / 性别不限 / 45～55岁,招聘若干人,薪资面议
,远博科技软件咨询服务中心,销售代表,大专 / 经验不限 / 性别不限 / 18～35岁,招聘5人,2K-8K
,远博科技软件咨询服务中心,销售顾问,大专 / 经验2年以上 / 性别不限 / 20～40岁,招聘3人,3K-8K
,江淮汽车销售服务有限公司,汽车销售顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘20人,3K-10K
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,普工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,2K-3K
,安徽铭辉建筑工程有限公司,出纳,大专 / 经验2年以上 / 性别不限 / 年龄不限,招聘1人,3K-5K
,安徽铭辉建筑工程有限公司,造价师,大专 / 经验3年以上 / 性别不限 / 年龄不限,招聘2人,4K-5K
,安徽铭辉建筑工程有限公司,二级建造师（房建、市政、机电）,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘9人,薪资面议
(安徽产业集中区盛尊工业园3号厂房),安徽海纳德气体设备有限公司,技术人员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘9人,5K-10K
,哈弗汽车销售服务有限公司,钣金学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,薪资面议
,哈弗汽车销售服务有限公司,销售顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘20人,薪资面议
,哈弗汽车销售服务有限公司,机修学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
(安徽省池州市东湖北路229号，6路公交车底站),安徽迈思特轴承有限公司,机电维修工,学历不限 / 经验3年以上 / 性别不限 / 年龄不限,招聘2人,薪资面议
,江淮汽车销售服务有限公司,客服,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘8人,薪资面议
(新西街三楼),捉鸭记特色餐厅,兼职工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,薪资面议
,小萌星主持培训中心,口才老师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
(新西街三楼),捉鸭记特色餐厅,凉菜员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
(新西街三楼),捉鸭记特色餐厅,水吧员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
(池州市贵池区长江南路西南馨园小区25-2栋403室),安徽省建生工程咨询有限公司,造价人员,大专 / 经验3年以上 / 性别不限 / 年龄不限,招聘6人,薪资面议
(新西街三楼),捉鸭记特色餐厅,临时工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
(新西街三楼),捉鸭记特色餐厅,店长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,5K-10K
(新西街三楼),捉鸭记特色餐厅,后厨打杂,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-2K
(新西街三楼),捉鸭记特色餐厅,厨师学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,3K-4K
(新西街三楼),捉鸭记特色餐厅,厨师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,4K-5K
(安徽省池州市贵池区清溪大道198号),安徽精实电子科技有限公司,品管,中专 / 经验3年以上 / 性别不限 / 28～40岁,招聘5人,面议
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,包装技术员,中专 / 经验3年以上 / 性别不限 / 25～45岁,招聘2人,薪资面议
(安徽产业集中区盛尊工业园3号厂房),安徽海纳德气体设备有限公司,电焊工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,5K-8K
(新西街三楼),捉鸭记特色餐厅,切片工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
(梅里工业园（老厂）池州开发区（新厂）),池州德特机电设备有限公司,技术员,大专 / 经验1年以上 / 性别不限 / 24岁以上,招聘若干人,3K-5K
(梅里工业园（老厂）池州开发区（新厂）),池州德特机电设备有限公司,销售经理,大专 / 经验1年以上 / 性别不限 / 年龄不限,招聘若干人,3K-5K
(安徽省池州市清溪大道198号),安徽精实电子科技有限公司,仓库管理员,中专 / 经验3年以上 / 性别男 / 25～45岁,招聘2人,3K-4K
(杏花村街道长江北路328号),飞安童电子商务有些公司,缝纫车工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,5K-6K
(同晖广场拉菲公馆2408室),池州山立分子筛有限公司,技术员,高中 / 经验不限 / 性别不限 / 29～40岁,招聘1人,面议
