池州市贵池区,池州妍宝电子商务有限公司,网络销售,学历不限 / 经验不限 / 性别不限 / 18～25岁,招聘200人,2K-60K
池州市贵池区,池州市我爱我家房产经纪有限公司,一手房置业顾问,高中 / 经验不限 / 性别不限 / 22～35岁,招聘若干人,面议
池州市,安徽芯旭半导体有限公司,设备工程师,本科 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,安徽川上中央厨房设备有限公司,氩弧焊工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
池州市贵池区,安徽上恒电气成套设备有限公司,接线工,学历不限 / 经验不限 / 性别女 / 年龄不限,招聘5人,2K-3K
池州市贵池区,安徽星汉检测技术有限责任公司,销售内勤,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,2K-3K
池州市,池州市拉钩供应链管理有限公司,客服人员,学历不限 / 经验不限 / 性别女 / 年龄不限,招聘3人,2K-2K
池州市,安徽友进冠华新材科技股份有限公司,安全员,大专 / 经验1年以上 / 性别不限 / 25～35岁,招聘1人,4K-5K
池州市贵池区,安徽星汉检测技术有限责任公司,行政文员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,2K-3K
池州市贵池区,安徽芯旭半导体有限公司,工艺工程师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,安徽川上中央厨房设备有限公司,普工,学历不限 / 经验不限 / 性别男 / 40岁以下,招聘若干人,薪资面议
池州市贵池区,安徽友进冠华新材科技股份有限公司,会计,本科 / 经验2年以上 / 性别不限 / 25～35岁,招聘2人,面议
池州市贵池区,安徽川上中央厨房设备有限公司,销售助理,大专 / 经验不限 / 性别女 / 35岁以下,招聘2人,薪资面议
池州市贵池区,安徽友进冠华新材科技股份有限公司,主控技术员,学历不限 / 经验不限 / 性别男 / 35岁以下,招聘4人,5K-6K
池州市贵池区,安徽友进冠华新材科技股份有限公司,调度员,大专 / 经验不限 / 性别不限 / 35岁以下,招聘1人,4K-5K
池州市,池州市银龙矿业有限公司,中控操作员,中专 / 经验1年以上 / 性别男 / 25～55岁,招聘若干人,面议
池州市,池州市银龙矿业有限公司,挖掘机司机,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,6K-8K
池州市贵池区,安徽友进冠华新材科技股份有限公司,普工,学历不限 / 经验2年以上 / 性别男 / 25～45岁,招聘8人,面议
池州市贵池区,哈尼宝贝母婴店,高薪诚聘店长提成分红五险,学历不限 / 经验1年以上 / 性别女 / 23～43岁,招聘2人,3K-6K
池州市,安徽友进冠华新材科技股份有限公司,电焊工,学历不限 / 经验3年以上 / 性别男 / 25～45岁,招聘6人,5K-7K
池州市贵池区,安徽星汉检测技术有限责任公司,质量负责人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市贵池区,安徽星汉检测技术有限责任公司,技术负责人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市贵池区,龙美美容中心,导医,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,2K-6K
池州市贵池区,老铜匠卫浴,销售,学历不限 / 经验不限 / 性别不限 / 20～40岁,招聘2人,2K-6K
池州市贵池区,龙美美容中心,护士,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘6人,2K-8K
池州市贵池区,绿地集团池州置业有限公司,行政文秘,大专 / 经验2年以上 / 性别不限 / 22～32岁,招聘2人,5K-7K
池州市贵池区,龙美美容中心,客服人员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘6人,薪资面议
池州市贵池区,龙美美容中心,行政文员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-4K
池州市,安徽友进冠华新材科技股份有限公司,CAD测绘员,学历不限 / 经验不限 / 性别男 / 50岁以下,招聘2人,薪资面议
池州市贵池区,龙美美容中心,护发师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,2K-3K
池州市贵池区,龙美美容中心,收银,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,3K-4K
池州市贵池区,龙美美容中心,烧饭阿姨,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
池州市贵池区,安徽星汉检测技术有限责任公司,质量负责人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市,安徽新春纺织科技有限公司,打卷工,初中 / 经验不限 / 性别女 / 38～42岁,招聘4人,4K-4K
池州市,福泰动力有限公司,审计专员,本科 / 经验2年以上 / 性别不限 / 年龄不限,招聘1人,面议
池州市,安徽芯旭半导体有限公司,业务助理,大专 / 经验1年以上 / 性别不限 / 18～40岁,招聘1人,面议
池州市贵池区,龙美美容中心,卫生阿姨,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-4K
池州市贵池区,安徽丰林木业有限公司,保安,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市贵池区,安徽丰林木业有限公司,外检检验员,高中 / 经验不限 / 性别不限 / 40岁以下,招聘1人,薪资面议
